filename,width,height,class,xmin,ymin,xmax,ymax
Black-backed butterflyfish_086.JPG,600,1067,Black-backed butterflyfish,95,331,403,620
Black-backed butterflyfish_087.JPG,600,1067,Black-backed butterflyfish,81,315,392,612
Black-backed butterflyfish_088.JPG,600,1067,Black-backed butterflyfish,92,318,393,609
Black-backed butterflyfish_089.JPG,600,1067,Black-backed butterflyfish,95,320,392,609
Black-backed butterflyfish_090.JPG,600,1067,Black-backed butterflyfish,114,339,379,631
Black-backed butterflyfish_091.JPG,600,1067,Black-backed butterflyfish,110,341,381,636
Black-backed butterflyfish_092.JPG,600,1067,Black-backed butterflyfish,113,333,392,630
Black-backed butterflyfish_093.JPG,600,1067,Black-backed butterflyfish,113,331,385,628
Black-backed butterflyfish_094.JPG,600,1067,Black-backed butterflyfish,111,330,398,630
Black-backed butterflyfish_095.JPG,600,1067,Black-backed butterflyfish,111,354,393,655
Black-backed butterflyfish_096.JPG,600,1067,Black-backed butterflyfish,114,360,393,664
Black-backed butterflyfish_097.JPG,600,1067,Black-backed butterflyfish,90,368,389,668
Black-backed butterflyfish_098.JPG,600,1067,Black-backed butterflyfish,95,365,397,668
Black-backed butterflyfish_099.JPG,600,1067,Black-backed butterflyfish,90,365,402,667
Black-backed butterflyfish_100.JPG,600,1067,Black-backed butterflyfish,98,368,392,664
Black-backed butterflyfish_101.JPG,600,1067,Black-backed butterflyfish,84,370,400,660
Black-backed butterflyfish_102.JPG,600,1067,Black-backed butterflyfish,92,372,393,662
Black-backed butterflyfish_103.JPG,600,1067,Black-backed butterflyfish,93,373,408,660
Black-backed butterflyfish_104.JPG,600,1067,Black-backed butterflyfish,100,368,424,652
Black-backed butterflyfish_105.JPG,600,1067,Black-backed butterflyfish,102,368,422,649
Black-backed butterflyfish_106.JPG,600,1067,Black-backed butterflyfish,98,376,432,651
Black-backed butterflyfish_107.JPG,600,1067,Black-backed butterflyfish,102,378,432,651
Black-backed butterflyfish_108.JPG,600,1067,Black-backed butterflyfish,93,383,445,654
Black-backed butterflyfish_109.JPG,600,1067,Black-backed butterflyfish,103,383,440,655
Black-backed butterflyfish_110.JPG,600,1067,Black-backed butterflyfish,93,388,442,662
Black-backed butterflyfish_111.JPG,600,1067,Black-backed butterflyfish,82,399,439,670
Black-backed butterflyfish_112.JPG,600,1067,Black-backed butterflyfish,89,396,439,675
Black-backed butterflyfish_113.JPG,600,1067,Black-backed butterflyfish,92,407,452,675
Black-backed butterflyfish_114.JPG,600,1067,Black-backed butterflyfish,106,467,392,667
Black-backed butterflyfish_115.JPG,600,1067,Black-backed butterflyfish,111,465,395,668
Black-backed butterflyfish_116.JPG,600,1067,Black-backed butterflyfish,111,465,402,659
Black-backed butterflyfish_117.JPG,600,1067,Black-backed butterflyfish,105,465,398,660
Black-backed butterflyfish_118.JPG,600,1067,Black-backed butterflyfish,121,455,402,654
Black-backed butterflyfish_119.JPG,600,1067,Black-backed butterflyfish,106,454,400,647
Black-backed butterflyfish_120.JPG,600,1067,Black-backed butterflyfish,111,444,403,639
Black-backed butterflyfish_121.JPG,600,1067,Black-backed butterflyfish,113,441,397,646
Black-backed butterflyfish_122.JPG,600,1067,Black-backed butterflyfish,114,431,390,630
Black-backed butterflyfish_123.JPG,600,1067,Black-backed butterflyfish,127,430,387,623
Black-backed butterflyfish_124.JPG,600,1067,Black-backed butterflyfish,147,414,402,617
Black-backed butterflyfish_125.JPG,600,1067,Black-backed butterflyfish,153,417,390,607
Black-backed butterflyfish_126.JPG,600,1067,Black-backed butterflyfish,160,418,389,614
Black-backed butterflyfish_127.JPG,600,1067,Black-backed butterflyfish,177,420,385,612
Black-backed butterflyfish_128.JPG,600,1067,Black-backed butterflyfish,181,425,379,607
Black-backed butterflyfish_129.JPG,600,1067,Black-backed butterflyfish,190,425,384,605
Black-backed butterflyfish_130.JPG,600,1067,Black-backed butterflyfish,202,422,350,612
Black-backed butterflyfish_131.JPG,600,1067,Black-backed butterflyfish,189,414,356,618
Black-backed butterflyfish_132.JPG,600,1067,Black-backed butterflyfish,190,415,361,615
Black-backed butterflyfish_133.JPG,600,1067,Black-backed butterflyfish,153,415,376,623
Black-backed butterflyfish_134.JPG,600,1067,Black-backed butterflyfish,203,415,426,601
Black-backed butterflyfish_135.JPG,600,1067,Black-backed butterflyfish,121,301,368,462
Black-backed butterflyfish_136.JPG,600,1067,Black-backed butterflyfish,114,305,356,468
Black-backed butterflyfish_137.JPG,600,1067,Black-backed butterflyfish,92,314,345,470
Black-backed butterflyfish_138.JPG,600,1067,Black-backed butterflyfish,100,312,342,475
Black-backed butterflyfish_139.JPG,600,1067,Black-backed butterflyfish,90,318,339,472
Black-backed butterflyfish_140.JPG,600,1067,Black-backed butterflyfish,90,315,340,473
Black-backed butterflyfish_141.JPG,600,1067,Black-backed butterflyfish,108,325,348,480
Black-backed butterflyfish_142.JPG,600,1067,Black-backed butterflyfish,108,323,353,480
Black-backed butterflyfish_143.JPG,600,1067,Black-backed butterflyfish,150,334,353,493
Black-backed butterflyfish_144.JPG,600,1067,Black-backed butterflyfish,145,333,355,493
Black-backed butterflyfish_145.JPG,600,1067,Black-backed butterflyfish,182,354,369,514
Black-backed butterflyfish_146.JPG,600,1067,Black-backed butterflyfish,177,355,369,512
Black-backed butterflyfish_147.JPG,600,1067,Black-backed butterflyfish,168,396,358,559
Black-backed butterflyfish_148.JPG,600,1067,Black-backed butterflyfish,174,412,353,583
Black-backed butterflyfish_149.JPG,600,1067,Black-backed butterflyfish,176,415,356,584
Black-backed butterflyfish_150.JPG,600,1067,Black-backed butterflyfish,160,418,332,591
Black-backed butterflyfish_151.JPG,600,1067,Black-backed butterflyfish,163,422,337,586
Black-backed butterflyfish_152.JPG,600,1067,Black-backed butterflyfish,176,423,327,596
Black-backed butterflyfish_153.JPG,600,1067,Black-backed butterflyfish,184,425,327,596
Black-backed butterflyfish_154.JPG,600,1067,Black-backed butterflyfish,182,423,331,596
Black-backed butterflyfish_155.JPG,600,1067,Black-backed butterflyfish,213,430,321,601
Black-backed butterflyfish_156.JPG,600,1067,Black-backed butterflyfish,203,443,303,615
Black-backed butterflyfish_157.JPG,600,1067,Black-backed butterflyfish,202,441,306,615
Black-backed butterflyfish_158.JPG,600,1067,Black-backed butterflyfish,189,438,293,615
Black-backed butterflyfish_159.JPG,600,1067,Black-backed butterflyfish,182,441,293,618
Black-backed butterflyfish_160.JPG,600,1067,Black-backed butterflyfish,197,434,311,612
Black-backed butterflyfish_161.JPG,600,1067,Black-backed butterflyfish,247,443,363,620
Black-backed butterflyfish_162.JPG,600,1067,Black-backed butterflyfish,277,457,379,633
Black-backed butterflyfish_163.JPG,600,1067,Black-backed butterflyfish,242,455,371,633
Black-backed butterflyfish_164.JPG,600,1067,Black-backed butterflyfish,242,455,381,630
Black-backed butterflyfish_165.JPG,600,1067,Black-backed butterflyfish,216,455,393,636
Black-backed butterflyfish_166.JPG,600,1067,Black-backed butterflyfish,218,457,393,634
Black-backed butterflyfish_167.JPG,600,1067,Black-backed butterflyfish,169,475,413,646
Black-backed butterflyfish_168.JPG,600,1067,Black-backed butterflyfish,161,472,413,649
Black-backed butterflyfish_169.JPG,600,1067,Black-backed butterflyfish,126,464,410,644
Black-backed butterflyfish_170.JPG,600,1067,Black-backed butterflyfish,114,454,408,652
Black-backed butterflyfish_171.JPG,600,1067,Black-backed butterflyfish,114,460,403,651
Black-backed butterflyfish_172.JPG,600,1067,Black-backed butterflyfish,100,476,389,665
Black-backed butterflyfish_173.JPG,600,1067,Black-backed butterflyfish,97,475,384,660
Black-backed butterflyfish_174.JPG,600,1067,Black-backed butterflyfish,111,493,411,675
Black-backed butterflyfish_175.JPG,600,1067,Black-backed butterflyfish,105,509,406,684
Black-backed butterflyfish_176.JPG,600,1067,Black-backed butterflyfish,90,526,387,701
Black-backed butterflyfish_177.JPG,600,1067,Black-backed butterflyfish,106,534,416,717
Black-backed butterflyfish_178.JPG,600,1067,Black-backed butterflyfish,113,538,414,717
Black-backed butterflyfish_179.JPG,600,1067,Black-backed butterflyfish,98,533,408,717
Black-backed butterflyfish_180.JPG,600,1067,Black-backed butterflyfish,95,528,389,705
Black-backed butterflyfish_181.JPG,600,1067,Black-backed butterflyfish,92,526,392,707
Black-backed butterflyfish_182.JPG,600,1067,Black-backed butterflyfish,77,526,387,707
Black-backed butterflyfish_183.JPG,600,1067,Black-backed butterflyfish,77,528,384,707
Black-backed butterflyfish_184.JPG,600,1067,Black-backed butterflyfish,77,528,376,709
Black-backed butterflyfish_185.JPG,600,1067,Black-backed butterflyfish,77,526,377,710
Black-backed butterflyfish_186.JPG,600,1067,Black-backed butterflyfish,90,530,356,717
Black-backed butterflyfish_187.JPG,600,1067,Black-backed butterflyfish,106,525,335,710
Black-backed butterflyfish_188.JPG,600,1067,Black-backed butterflyfish,102,526,340,712
Black-backed butterflyfish_189.JPG,600,1067,Black-backed butterflyfish,114,525,319,714
Black-backed butterflyfish_190.JPG,600,1067,Black-backed butterflyfish,111,520,322,709
Black-backed butterflyfish_191.JPG,600,1067,Black-backed butterflyfish,132,528,287,714
Black-backed butterflyfish_192.JPG,600,1067,Black-backed butterflyfish,129,539,231,715
Black-backed butterflyfish_193.JPG,600,1067,Black-backed butterflyfish,74,541,210,722
Black-backed butterflyfish_194.JPG,600,1067,Black-backed butterflyfish,1,547,142,722
Black-backed butterflyfish_195.JPG,600,800,Black-backed butterflyfish,267,240,451,350
Black-backed butterflyfish_196.JPG,600,800,Black-backed butterflyfish,84,278,331,412
Black-backed butterflyfish_197.JPG,600,800,Black-backed butterflyfish,57,267,324,411
Black-backed butterflyfish_198.JPG,600,800,Black-backed butterflyfish,100,276,311,439
Black-backed butterflyfish_199.JPG,600,800,Black-backed butterflyfish,208,247,307,364
Black-backed butterflyfish_200.JPG,600,800,Black-backed butterflyfish,219,186,300,300
Black-backed butterflyfish_201.JPG,600,800,Black-backed butterflyfish,226,187,312,305
Black-backed butterflyfish_202.JPG,600,800,Black-backed butterflyfish,220,201,274,314
Black-backed butterflyfish_203.JPG,600,800,Black-backed butterflyfish,368,312,536,405
Black-backed butterflyfish_204.JPG,600,800,Black-backed butterflyfish,374,308,533,406
Black-backed butterflyfish_205.jpg,600,1067,Black-backed butterflyfish,1,549,140,726
Black-backed butterflyfish_206.jpg,600,1067,Black-backed butterflyfish,1,547,142,723
Black-backed butterflyfish_207.jpg,600,1067,Black-backed butterflyfish,22,539,187,715
Black-backed butterflyfish_208.jpg,600,1067,Black-backed butterflyfish,48,538,187,717
Black-backed butterflyfish_209.jpg,600,1067,Black-backed butterflyfish,79,538,219,720
Black-backed butterflyfish_210.jpg,600,1067,Black-backed butterflyfish,119,538,229,717
Black-backed butterflyfish_211.jpg,600,1067,Black-backed butterflyfish,140,534,248,714
Black-backed butterflyfish_212.jpg,600,1067,Black-backed butterflyfish,132,528,268,714
Black-backed butterflyfish_213.jpg,600,1067,Black-backed butterflyfish,119,528,321,710
Black-backed butterflyfish_214.jpg,600,1067,Black-backed butterflyfish,110,530,332,710
Black-backed butterflyfish_215.jpg,600,1067,Black-backed butterflyfish,113,526,326,707
Black-backed butterflyfish_216.jpg,600,1067,Black-backed butterflyfish,102,525,343,709
Black-backed butterflyfish_217.jpg,600,1067,Black-backed butterflyfish,97,525,347,709
Black-backed butterflyfish_218.jpg,600,1067,Black-backed butterflyfish,92,526,360,712
Black-backed butterflyfish_219.jpg,600,1067,Black-backed butterflyfish,90,523,372,710
Black-backed butterflyfish_220.jpg,600,1067,Black-backed butterflyfish,81,526,384,712
Black-backed butterflyfish_221.jpg,600,1067,Black-backed butterflyfish,76,526,389,707
Black-backed butterflyfish_222.jpg,600,1067,Black-backed butterflyfish,87,528,390,709
Black-backed butterflyfish_223.jpg,600,1067,Black-backed butterflyfish,77,528,393,710
Black-backed butterflyfish_224.jpg,600,1067,Black-backed butterflyfish,85,525,398,709
Black-backed butterflyfish_225.jpg,600,1067,Black-backed butterflyfish,93,538,389,717
Black-backed butterflyfish_226.jpg,600,1067,Black-backed butterflyfish,87,525,381,701
Black-backed butterflyfish_227.jpg,600,1067,Black-backed butterflyfish,114,497,408,681
Black-backed butterflyfish_228.jpg,600,1067,Black-backed butterflyfish,106,462,403,652
Black-backed butterflyfish_229.jpg,600,1067,Black-backed butterflyfish,261,447,377,630
Black-backed butterflyfish_230.jpg,600,1067,Black-backed butterflyfish,197,430,322,614
Black-backed butterflyfish_231.jpg,600,1067,Black-backed butterflyfish,195,438,308,620
Black-backed butterflyfish_232.jpg,600,1067,Black-backed butterflyfish,163,415,337,584
Black-backed butterflyfish_233.jpg,600,1067,Black-backed butterflyfish,172,410,355,584
Black-backed butterflyfish_234.jpg,600,1067,Black-backed butterflyfish,164,396,356,562
Black-backed butterflyfish_235.jpg,600,1067,Black-backed butterflyfish,195,375,366,544
Black-backed butterflyfish_236.jpg,600,1067,Black-backed butterflyfish,174,354,364,514
Black-backed butterflyfish_237.jpg,600,1067,Black-backed butterflyfish,168,346,361,502
Black-backed butterflyfish_238.jpg,600,1067,Black-backed butterflyfish,126,331,348,488
Black-backed butterflyfish_239.jpg,600,1067,Black-backed butterflyfish,97,318,348,472
Black-backed butterflyfish_240.jpg,600,1067,Black-backed butterflyfish,116,307,361,468
Black-backed butterflyfish_241.jpg,600,1067,Black-backed butterflyfish,156,417,363,618
Black-backed butterflyfish_242.jpg,600,1067,Black-backed butterflyfish,177,417,340,614
Black-backed butterflyfish_243.jpg,600,1067,Black-backed butterflyfish,203,420,353,615
Black-backed butterflyfish_244.jpg,600,1067,Black-backed butterflyfish,205,417,353,609
Black-backed butterflyfish_245.jpg,600,1067,Black-backed butterflyfish,189,428,361,610
Black-backed butterflyfish_246.jpg,600,1067,Black-backed butterflyfish,185,418,377,615
Black-backed butterflyfish_247.jpg,600,1067,Black-backed butterflyfish,192,422,392,615
Black-backed butterflyfish_248.jpg,600,1067,Black-backed butterflyfish,172,420,385,614
Black-backed butterflyfish_249.jpg,600,1067,Black-backed butterflyfish,152,423,389,610
Black-backed butterflyfish_250.jpg,600,1067,Black-backed butterflyfish,147,420,395,615
Black-backed butterflyfish_251.jpg,600,1067,Black-backed butterflyfish,126,423,397,622
Black-backed butterflyfish_252.jpg,600,1067,Black-backed butterflyfish,108,438,387,628
Black-backed butterflyfish_253.jpg,600,1067,Black-backed butterflyfish,102,449,400,649
Black-backed butterflyfish_254.jpg,600,1067,Black-backed butterflyfish,110,460,395,660
Black-backed butterflyfish_255.jpg,600,1067,Black-backed butterflyfish,247,223,385,346
Black-backed butterflyfish_256.jpg,600,1067,Black-backed butterflyfish,247,220,400,343
Black-backed butterflyfish_257.jpg,600,1067,Black-backed butterflyfish,263,233,448,355
Black-backed butterflyfish_258.jpg,600,1067,Black-backed butterflyfish,293,259,439,381
Black-backed butterflyfish_259.jpg,600,1067,Black-backed butterflyfish,311,260,458,380
Black-backed butterflyfish_260.jpg,600,1067,Black-backed butterflyfish,347,260,464,383
Black-backed butterflyfish_261.jpg,600,1067,Black-backed butterflyfish,342,249,442,375
Black-backed butterflyfish_262.jpg,600,1067,Black-backed butterflyfish,347,236,442,367
Black-backed butterflyfish_263.jpg,600,1067,Black-backed butterflyfish,106,470,387,668
Black-backed butterflyfish_264.jpg,600,1067,Black-backed butterflyfish,45,426,416,704
Black-backed butterflyfish_265.jpg,600,1067,Black-backed butterflyfish,47,417,419,691
Black-backed butterflyfish_266.jpg,600,1067,Black-backed butterflyfish,174,434,348,733
Black-backed butterflyfish_267.JPG,600,800,Black-backed butterflyfish,250,333,415,463
Black-backed butterflyfish_268.jpg,600,1067,Black-backed butterflyfish,148,446,348,747
Black-backed butterflyfish_269.jpg,600,1067,Black-backed butterflyfish,155,438,353,739
Black-backed butterflyfish_270.jpg,600,1067,Black-backed butterflyfish,139,454,345,752
Black-backed butterflyfish_271.jpg,600,1067,Black-backed butterflyfish,126,488,318,781
Black-backed butterflyfish_272.jpg,600,1067,Black-backed butterflyfish,168,502,322,814
Black-backed butterflyfish_273.jpg,600,1067,Black-backed butterflyfish,163,534,335,836
Black-backed butterflyfish_274.jpg,600,1067,Black-backed butterflyfish,163,539,358,852
Black-backed butterflyfish_275.jpg,600,1067,Black-backed butterflyfish,160,560,381,868
Black-backed butterflyfish_276.jpg,600,1067,Black-backed butterflyfish,172,576,398,881
Black-backed butterflyfish_277.jpg,600,1067,Black-backed butterflyfish,189,559,402,881
Black-backed butterflyfish_278.jpg,600,1067,Black-backed butterflyfish,198,560,403,878
Black-backed butterflyfish_279.jpg,600,1067,Black-backed butterflyfish,190,551,395,876
Black-backed butterflyfish_280.jpg,600,1067,Black-backed butterflyfish,177,551,403,867
Black-backed butterflyfish_281.jpg,600,1067,Black-backed butterflyfish,177,547,393,865
Black-backed butterflyfish_282.jpg,600,1067,Black-backed butterflyfish,166,546,406,864
Black-backed butterflyfish_283.jpg,600,1067,Black-backed butterflyfish,152,546,405,854
Black-backed butterflyfish_284.jpg,600,1067,Black-backed butterflyfish,148,539,405,833
Black-backed butterflyfish_285.jpg,600,1067,Black-backed butterflyfish,155,546,424,825
Black-backed butterflyfish_286.jpg,600,1067,Black-backed butterflyfish,147,546,426,812
Black-backed butterflyfish_287.jpg,600,1067,Black-backed butterflyfish,148,549,440,796
Black-backed butterflyfish_288.jpg,600,1067,Black-backed butterflyfish,139,544,442,781
Black-backed butterflyfish_289.jpg,600,1067,Black-backed butterflyfish,121,549,440,762
Black-backed butterflyfish_290.jpg,600,1067,Black-backed butterflyfish,106,552,427,754
Black-backed butterflyfish_291.jpg,600,1067,Black-backed butterflyfish,219,309,385,493
Black-backed butterflyfish_292.jpg,600,1067,Black-backed butterflyfish,214,310,389,491
Black-backed butterflyfish_293.jpg,600,1067,Black-backed butterflyfish,208,310,387,493
Black-backed butterflyfish_294.jpg,600,1067,Black-backed butterflyfish,214,309,382,496
Black-backed butterflyfish_295.jpg,600,1067,Black-backed butterflyfish,163,294,360,491
Black-backed butterflyfish_296.jpg,600,1067,Black-backed butterflyfish,381,367,474,436
Black-backed butterflyfish_297.jpg,600,1067,Black-backed butterflyfish,392,370,485,441
Black-backed butterflyfish_298.jpg,600,1067,Black-backed butterflyfish,400,373,495,441
Black-backed butterflyfish_299.jpg,600,1067,Black-backed butterflyfish,398,378,503,449
Black-backed butterflyfish_300.jpg,600,1067,Black-backed butterflyfish,418,388,511,452
Black-backed butterflyfish_301.jpg,600,1067,Black-backed butterflyfish,418,396,514,462
Black-backed butterflyfish_302.jpg,600,1067,Black-backed butterflyfish,442,405,532,472
Black-backed butterflyfish_303.jpg,600,1067,Black-backed butterflyfish,445,410,545,476
Black-backed butterflyfish_304.jpg,600,1067,Black-backed butterflyfish,76,214,385,391
Black-backed butterflyfish_305.jpg,600,1067,Black-backed butterflyfish,69,217,379,391
Black-backed butterflyfish_306.jpg,600,1067,Black-backed butterflyfish,64,226,353,394
Black-backed butterflyfish_307.jpg,600,1067,Black-backed butterflyfish,1,237,268,409
Black-backed butterflyfish_308.jpg,600,1067,Black-backed butterflyfish,1,247,266,420
Black-backed butterflyfish_309.jpg,600,1067,Black-backed butterflyfish,1,257,231,436
Black-backed butterflyfish_310.jpg,600,1067,Black-backed butterflyfish,1,270,221,444
Black-backed butterflyfish_311.jpg,600,1067,Black-backed butterflyfish,1,279,211,451
Black-backed butterflyfish_312.jpg,600,1067,Black-backed butterflyfish,1,266,203,452
Black-backed butterflyfish_313.jpg,600,1067,Black-backed butterflyfish,1,265,211,447
Black-backed butterflyfish_314.jpg,600,1067,Black-backed butterflyfish,1,242,211,436
Black-backed butterflyfish_315.jpg,600,1067,Black-backed butterflyfish,1,237,185,417
Black-backed butterflyfish_316.jpg,600,1067,Black-backed butterflyfish,258,138,397,305
Black-backed butterflyfish_317.jpg,600,1067,Black-backed butterflyfish,252,141,392,305
Black-backed butterflyfish_318.jpg,600,1067,Black-backed butterflyfish,271,147,392,312
Black-backed butterflyfish_319.jpg,600,1067,Black-backed butterflyfish,295,159,431,328
Black-backed butterflyfish_320.jpg,600,1067,Black-backed butterflyfish,371,176,463,343
Black-backed butterflyfish_321.jpg,600,1067,Black-backed butterflyfish,377,189,484,352
Black-backed butterflyfish_322.jpg,600,1067,Black-backed butterflyfish,395,212,490,364
Black-backed butterflyfish_323.jpg,600,1067,Black-backed butterflyfish,356,193,464,351
Black-backed butterflyfish_324.jpg,600,1067,Black-backed butterflyfish,348,176,437,339
Black-backed butterflyfish_325.jpg,600,1067,Black-backed butterflyfish,322,184,424,341
